,BHK,Rent,Size,Area_Type,City,Furnishing_Status,Tenant_Preferred,Bathroom,Point_Contact,Floor_Number,Total_Floor
326,2,0.0036583971647421976,0.09887359198998748,1,4,2,1,2,2,0,3
327,1,0.0019435234937692921,0.03629536921151439,1,4,0,0,1,0,0,1
328,2,0.0016577112152738082,0.08010012515644555,1,4,2,1,1,2,0,2
329,1,0.0019435234937692921,0.07384230287859823,2,4,0,1,1,2,1,2
330,1,0.0005144621012918714,0.0425531914893617,2,4,2,1,1,2,0,3
331,1,0.0007431119240882587,0.061326658322903634,1,4,2,0,1,2,1,3
332,1,0.001514805076026066,0.04881101376720901,2,4,2,1,1,2,1,1
333,3,0.005373270835715102,0.21777221526908636,2,4,1,1,3,2,0,3
334,3,0.008231393620669943,0.19899874843554444,2,4,2,1,2,2,3,3
335,1,0.0019435234937692921,0.03629536921151439,1,4,1,1,1,0,0,2
336,2,0.0036583971647421976,0.13642052565707133,2,4,1,1,2,2,1,3
337,2,0.0017148736709729046,0.10262828535669585,2,4,2,1,1,2,0,3
338,2,0.0016577112152738082,0.07384230287859823,1,4,1,1,2,2,0,2
339,1,0.0016577112152738082,0.061326658322903634,2,4,2,0,2,2,1,2
340,2,0.00180061735452155,0.11138923654568209,1,4,2,1,1,2,1,2
341,2,0.0020864296330170345,0.15519399249061328,1,4,2,2,2,2,0,1
342,2,0.003086772607751229,0.08635794743429286,1,4,2,0,1,0,0,2
343,1,0.0020864296330170345,0.10513141426783477,1,4,2,0,2,2,0,1
344,2,0.0023722419115125184,0.06758448060075092,1,4,2,1,1,2,0,1
345,2,0.00180061735452155,0.06758448060075092,1,4,0,1,2,2,0,1
346,2,0.003086772607751229,0.14893617021276595,2,4,2,1,1,2,0,1
347,3,0.005373270835715102,0.13642052565707133,1,4,2,0,2,0,0,1
348,2,0.0020864296330170345,0.08010012515644555,2,4,1,1,1,2,0,1
349,3,0.005373270835715102,0.13016270337922403,1,4,2,0,2,0,0,1
350,2,0.0013718989367783238,0.11889862327909886,2,4,1,1,2,2,0,2
351,2,0.0012289927975305819,0.08010012515644555,1,4,2,1,2,2,1,1
352,1,0.0016577112152738082,0.06758448060075092,2,4,1,1,1,2,0,2
353,2,0.0016577112152738082,0.061326658322903634,2,4,1,1,2,2,0,1
354,1,0.001514805076026066,0.055068836045056316,2,4,2,2,1,2,3,4
